S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
90,3D5071P-CHEM-0107873,3D5071P,4/30/2013,1106588A1,NO,102,101,S1,101,101,101,105,101,101,,,,,,,2.9,101.1,1.2,202.1,<0.05,0,0,0,0,0
91,3E5060P-CHEM-0111225,3E5060P,5/20/2013,1106588A1,NO,101,97,S1,97,101,100,101,102,103,,,,,,,3.1,101.5,1.3,203,0.06,0,0,0,0,0
92,3E5061P-CHEM-0111229,3E5061P,5/20/2013,1106588A1,NO,101,98,S1,102,98,101,102,102,99,,,,,,,2.6,100.1,1.1,200.2,0.07,0,0,0,1,1
93,3E5062P-CHEM-0111233,3E5062P,5/21/2013,1106588A1,NO,101,99,S1,102,99,102,99,100,103,,,,,,,3.6,100.2,1.5,200.4,0.07,0,0,0,0,0
94,3E5070P-CHEM-0111250,3E5070P,5/22/2013,1106588A1,NO,100,95,S1,95,102,101,101,101,102,,,,,,,1.9,100.6,0.8,201.2,0.06,0,0,0,0,0
95,3E5071P-CHEM-0111257,3E5071P,5/22/2013,1106588A1,NO,99,98,S1,98,100,100,98,100,100,,,,,,,2.6,99.9,1.1,199.8,0.07,0,0,0,0,0
96,3E5111P-CHEM-0112750,3E5111P,5/30/2013,1106588A1,NO,100,98,S1,100,101,101,101,98,99,,,,,,,2.2,101.1,0.9,202.2,<0.05,0,1,0,0,1
97,3E5112P-CHEM-0112757,3E5112P,5/31/2013,1106588A1,NO,100,98,S1,99,98,101,100,100,103,,,,,,,2.6,100.9,1.1,201.7,0.06,0,0,0,0,0
98,3E5113P-CHEM-0112764,3E5113P,6/3/2013,1106588A1,NO,101,98,S1,100,102,102,103,98,101,,,,,,,3.1,100.6,1.3,201.2,0.06,0,0,0,0,0
99,3E5114P-CHEM-0112772,3E5114P,6/3/2013,1106588A1,NO,100,98,S1,100,100,98,102,99,100,,,,,,,3.1,100.3,1.3,200.5,<0.05,0,0,0,0,0
100,3E5115P-CHEM-0112779,3E5115P,6/4/2013,1106588A1,NO,101,97,S1,99,101,103,103,103,97,,,,,,,2.2,101,0.9,202,<0.05,0,0,0,0,0
101,3F5095P-CHEM-0115371,3F5095P,6/25/2013,1106588A1,NO,100,98,S1,100,98,100,98,101,102,,,,,,,2.9,98.9,1.2,197.7,0.07,0,0,0,0,0
102,3F5096P-CHEM-0115375,3F5096P,6/26/2013,1106588A1,NO,101,100,S1,100,102,100,100,100,101,,,,,,,2.6,100.2,1.1,200.3,0.06,0,0,0,0,0
103,3G73499-CHEM-0118126,3G73499,7/18/2013,1106588A1,NO,100,98,S1,100,101,101,100,98,100,,,,,,,4.4,102.3,1.5,204.5,0.07,0,0,0,1,1
104,3G73500-CHEM-0118133,3G73500,7/22/2013,1106588A1,YES,102,100,S1,104,103,100,102,103,101,,,,,,,4.2,102.3,1.4,204.6,0.06,0,0,0,0,0
105,3G73501-CHEM-0118140,3G73501,7/22/2013,1106588A1,NO,101,100,S1,100,101,101,101,102,102,,,,,,,3,102.3,0.9,204.5,0.07,0,0,0,0,0
106,3G73502-CHEM-0118147,3G73502,7/23/2013,1106588A1,YES,102,98,S1,100,101,98,103,105,102,,,,,,,4.1,101,1.7,202.1,0.06,0,0,0,0,0
107,3G73503-CHEM-0118154,3G73503,7/24/2013,1106588A1,NO,101,100,S1,101,104,102,101,100,102,,,,,,,3,102.3,0.9,204.6,<0.05,0,0,0,1,1
108,3G73504-CHEM-0118161,3G73504,7/24/2013,1106588A1,YES,102,102,S1,102,102,102,104,102,102,,,,,,,2.5,101.6,1,203.3,0.07,0,0,0,0,0
109,3G73505-CHEM-0118168,3G73505,7/25/2013,1106588A1,NO,101,100,S1,100,100,101,102,102,103,,,,,,,1.4,101.4,0.6,202.9,<0.05,0,0,0,1,1
110,3G73506-CHEM-0118175,3G73506,7/26/2013,1106588A1,NO,101,97,S1,97,100,101,101,103,102,,,,,,,2.9,102,1,203.9,<0.05,0,0,0,0,0
111,3G73513-CHEM-0118179,3G73513,7/26/2013,1106588A1,NO,101,99,S1,102,101,99,102,102,100,,,,,,,2.1,101.9,0.7,203.7,<0.05,0,0,0,1,1
112,3G73514-CHEM-0118183,3G73514,7/27/2013,1106588A1,NO,102,99,S1,101,99,102,101,104,104,,,,,,,3.6,102.5,1.1,204.9,<0.05,0,0,0,0,0
113,3G76628-CHEM-0120259,3G76628,8/1/2013,1106588A1,NO,101,100,S1,101,102,100,101,100,101,,,,,,,2.6,101.5,1.1,202.9,0.05,0,0,0,0,0
114,3G76629-CHEM-0120263,3G76629,8/2/2013,1106588A1,NO,100,94,S1,94,96,102,101,101,102,,,,,,,3.1,101,1.3,202.1,0.05,0,0,0,0,0
115,3G76638-CHEM-0120267,3G76638,8/2/2013,1106588A1,NO,101,99,S1,99,100,102,102,102,100,,,,,,,2.9,99.4,1.2,198.8,0.06,0,0,0,0,0
116,3G76639-CHEM-0120271,3G76639,8/5/2013,1106588A1,NO,100,98,S1,101,102,100,100,98,101,,,,,,,1.9,102.2,0.5,204.3,<0.05,0,0,0,0,0
117,3G76640-CHEM-0120279,3G76640,8/5/2013,1106588A1,NO,101,100,S1,102,101,103,100,102,101,,,,,,,2.2,101.8,0.8,203.5,<0.05,0,0,0,1,1
118,3J76205-CHEM-0126789,3J76205,9/25/2013,1106588A1,NO,101,100,S1,100,101,100,101,101,101,,,,,,,3.1,101.4,1.3,202.9,0.07,0,0,0,0,0
119,3J76210-CHEM-0126793,3J76210,10/8/2013,1106588A1,NO,101,99,S1,101,102,102,101,99,102,,,,,,,1.8,101.6,0.7,203.3,0.06,0,0,0,2,2
120,3K77024-CHEM-0130119,3K77024,11/4/2013,1106588A1,NO,100,98,S1,98,101,100,102,100,100,,,,,,,2.5,102.3,0.7,204.7,0.07,0,0,0,0,0
121,3K79270-CHEM-0131826,3K79270,11/6/2013,1106588A1,NO,101,99,S1,101,101,99,100,103,101,,,,,,,2.2,101.1,0.9,202.2,0.07,0,0,0,0,0
122,3L72107-CHEM-0132813,3L72107,12/2/2013,1106588A1,NO,99,94,S1,97,99,100,94,101,100,,,,,,,2.6,101.3,1.1,202.6,0.06,0,0,0,0,0
123,3K79281-CHEM-0132817,3K79281,12/3/2013,1106588A1,NO,101,100,S1,100,101,100,100,102,102,,,,,,,3.4,102.7,0.9,205.3,0.06,0,0,0,3,3
124,3L72109-CHEM-0132832,3L72109,12/4/2013,1106588A1,NO,100,97,S1,98,100,100,102,102,97,,,,,,,1.4,101.2,0.6,202.3,0.07,0,0,0,2,2
125,3L72110-CHEM-0134322,3L72110,12/4/2013,1106588A1,NO,101,99,S1,100,101,101,102,100,99,,,,,,,1.5,101.8,0.5,203.6,0.06,0,0,0,2,2
126,3L73827-CHEM-0134326,3L73827,12/5/2013,1106588A1,NO,101,99,S1,99,103,102,102,102,101,,,,,,,1.7,101.3,0.7,202.7,0.06,0,0,0,2,2
127,4A82796-CHEM-0141040,4A82796,2/3/2014,1106588A1,NO,100,99,S1,100,101,101,100,101,99,,,,,,,1.7,100,0.7,199.9,0.08,0,0,4,0,4
128,4A82797-CHEM-0141044,4A82797,2/4/2014,1106588A1,NO,102,101,S1,101,101,101,102,102,102,,,,,,,2.3,101.9,0.8,203.7,0.07,0,0,0,2,2
129,4A82798-CHEM-0141048,4A82798,2/5/2014,1106588A1,NO,101,98,S1,98,101,102,101,101,103,,,,,,,1.4,101.4,0.6,202.7,0.07,0,0,0,5,5
130,4C88564-CHEM-0149658,4C88564,4/2/2014,1106588A1,NO,102,101,S1,101,103,102,101,102,101,,,,,,,3.1,100.5,1.3,201,0.06,0,0,5,0,5
131,4C88566-CHEM-0149666,4C88566,4/3/2014,1106588A1,NO,100,100,S1,100,101,101,100,101,100,,,,,,,1.4,99.7,0.6,199.4,0.06,0,0,0,1,1
132,4C88568-CHEM-0149671,4C88568,4/3/2014,1106588A1,NO,101,100,S1,100,102,100,102,101,101,,,,,,,1.7,99.3,0.7,198.5,<0.05,0,0,0,3,3
